|stars|categories
104|5.0|{u'Videos & Video Game Rental': 1, u'Books, Mags, Music & Video': 1, u'Shopping': 1}
105|3.5|{u'Mexican': 1, u'Restaurants': 1}
106|3.5|{u'Chinese': 1, u'Restaurants': 1}
107|2.5|{u'Bars': 1, u'Nightlife': 1, u'Sports Bars': 1}
108|1.5|{u'Restaurants': 1, u'Fast Food': 1}
109|1.5|{}
110|5.0|{u'Hair Salons': 1, u'Beauty & Spas': 1}
111|2.0|{u'Shopping': 1, u'Fabric Stores': 1, u'Arts & Crafts': 1}
112|2.5|{u'American (Traditional)': 1, u'Burgers': 1, u'Restaurants': 1}
113|3.0|{u'Italian': 1, u'Restaurants': 1}
114|1.5|{u'Department Stores': 1, u'Cosmetics & Beauty Supply': 1, u'Fashion': 1, u'Shopping': 1, u'Beauty & Spas': 1}
115|3.5|{u'Bars': 1, u'Nightlife': 1, u'Sports Bars': 1}
116|3.5|{u'Food': 1, u'Ice Cream & Frozen Yogurt': 1}
117|3.5|{u'Baby Gear & Furniture': 1, u'Fashion': 1, u'Shopping': 1, u'Women's Clothing': 1, u'Department Stores': 1, u'Eyewear & Opticians': 1}
118|2.0|{u'Event Planning & Services': 1, u'Hotels & Travel': 1, u'Hotels': 1}
119|4.0|{u'Shoe Repair': 1, u'Local Services': 1}
120|1.5|{u'Restaurants': 1, u'Pizza': 1}
121|2.5|{u'Burgers': 1, u'Restaurants': 1, u'Fast Food': 1}
122|4.0|{u'Seafood': 1, u'Cajun/Creole': 1, u'Sandwiches': 1, u'Restaurants': 1}
123|5.0|{u'Pets': 1, u'Veterinarians': 1}
124|2.5|{u'Mexican': 1, u'Restaurants': 1}
125|4.5|{u'Local Services': 1, u'Dry Cleaning & Laundry': 1}
126|2.5|{u'Restaurants': 1, u'American (New)': 1}
127|2.0|{u'Chinese': 1, u'Restaurants': 1}
128|2.5|{u'Tobacco Shops': 1, u'Shopping': 1, u'Adult': 1, u'Lingerie': 1, u'Fashion': 1}
129|3.0|{u'Breakfast & Brunch': 1, u'Restaurants': 1}
130|3.5|{u'Taxis': 1, u'Transportation': 1, u'Airport Shuttles': 1, u'Hotels & Travel': 1}
131|4.0|{u'Restaurants': 1, u'American (New)': 1}
132|4.5|{u'Car Rental': 1, u'Hotels & Travel': 1}
133|2.0|{u'Food': 1, u'Ice Cream & Frozen Yogurt': 1, u'Restaurants': 1, u'Fast Food': 1}
134|2.5|{u'Event Planning & Services': 1, u'Hotels & Travel': 1, u'Hotels': 1}
135|3.0|{u'Bars': 1, u'Restaurants': 1, u'Nightlife': 1, u'American (New)': 1}
136|3.0|{u'Food': 1, u'Beer, Wine & Spirits': 1, u'Grocery': 1, u'Delis': 1, u'Restaurants': 1}
137|4.5|{u'Performing Arts': 1, u'Arts & Entertainment': 1}
138|4.0|{u'American (Traditional)': 1, u'Bars': 1, u'Restaurants': 1, u'Dive Bars': 1, u'Nightlife': 1}
139|2.5|{u'Hair Salons': 1, u'Beauty & Spas': 1}
140|4.5|{u'Japanese': 1, u'Restaurants': 1}
141|4.0|{u'Bikes': 1, u'Shopping': 1, u'Sporting Goods': 1}
142|4.0|{u'Bars': 1, u'Nightlife': 1}
143|2.0|{u'Shopping': 1, u'Shopping Centers': 1}
144|2.0|{u'Automotive': 1, u'Car Wash': 1}
145|2.5|{u'Restaurants': 1, u'American (New)': 1}
146|3.5|{u'Golf': 1, u'Active Life': 1}
147|3.0|{u'Burgers': 1, u'Restaurants': 1}
148|1.0|{u'Restaurants': 1, u'Fast Food': 1}
149|2.0|{u'Event Planning & Services': 1, u'Hotels & Travel': 1, u'Hotels': 1}
150|4.5|{u'Local Services': 1, u'Sewing & Alterations': 1}
151|4.0|{u'Restaurants': 1, u'Mexican': 1, u'Tex-Mex': 1, u'Fast Food': 1}
152|3.0|{u'Home Decor': 1, u'Furniture Stores': 1, u'Shopping': 1, u'Antiques': 1, u'Home & Garden': 1}
153|3.0|{u'American (Traditional)': 1, u'Seafood': 1, u'Restaurants': 1}
154|4.0|{u'Contractors': 1, u'Home Services': 1, u'Home Cleaning': 1, u'Local Services': 1, u'Dry Cleaning & Laundry': 1}
155|4.0|{u'Pubs': 1, u'Bars': 1, u'Restaurants': 1, u'Nightlife': 1, u'American (New)': 1}
156|3.0|{u'Breakfast & Brunch': 1, u'Restaurants': 1, u'Buffets': 1, u'American (New)': 1}
157|3.5|{u'Automotive': 1, u'Oil Change Stations': 1}
158|4.0|{u'Restaurants': 1, u'Fast Food': 1}
159|2.5|{u'Hotels': 1, u'Event Planning & Services': 1, u'Hotels & Travel': 1, u'Venues & Event Spaces': 1}
160|2.5|{u'Shopping': 1, u'Hardware Stores': 1, u'Home & Garden': 1}
161|2.5|{u'Flowers & Gifts': 1, u'Nurseries & Gardening': 1, u'Shopping': 1, u'Florists': 1, u'Home & Garden': 1}
162|4.5|{u'Hair Salons': 1, u'Beauty & Spas': 1, u'Day Spas': 1}
163|2.5|{u'Hobby Shops': 1, u'Shopping': 1, u'Knitting Supplies': 1, u'Arts & Crafts': 1}
164|2.0|{u'Breakfast & Brunch': 1, u'Restaurants': 1}
165|3.5|{u'Event Planning & Services': 1, u'Hotels & Travel': 1, u'Hotels': 1}
166|3.5|{u'Food': 1, u'Grocery': 1}
167|3.5|{u'Recreation Centers': 1, u'Bowling': 1, u'Shopping': 1, u'Sporting Goods': 1, u'Active Life': 1}
168|3.5|{u'Restaurants': 1, u'Pizza': 1}
169|3.5|{u'Chinese': 1, u'Restaurants': 1}
170|4.0|{u'Cafes': 1, u'Sandwiches': 1, u'Restaurants': 1}
171|4.0|{u'American (Traditional)': 1, u'Diners': 1, u'Restaurants': 1}
172|4.5|{u'Food': 1, u'Meat Shops': 1, u'Specialty Food': 1}
173|5.0|{u'Bed & Breakfast': 1, u'Hotels & Travel': 1}
174|3.5|{u'Event Planning & Services': 1, u'Hotels & Travel': 1, u'Hotels': 1}
175|4.0|{u'Bars': 1, u'Dive Bars': 1, u'Nightlife': 1}
176|4.0|{u'Bars': 1, u'Nightlife': 1}
177|4.5|{u'Bars': 1, u'Nightlife': 1, u'Sports Bars': 1}
178|3.0|{}
179|4.0|{u'Bakeries': 1, u'Lebanese': 1, u'Food': 1, u'Mediterranean': 1, u'Middle Eastern': 1, u'Restaurants': 1}
180|4.0|{u'Restaurants': 1, u'Pizza': 1}
181|3.0|{u'Nail Salons': 1, u'Beauty & Spas': 1}
182|3.5|{u'Local Services': 1, u'Dry Cleaning & Laundry': 1}
183|4.5|{u'Nightlife': 1, u'Arts & Entertainment': 1, u'Music Venues': 1}
184|2.5|{u'Pet Services': 1, u'Pet Training': 1, u'Pet Groomers': 1, u'Pet Stores': 1, u'Pets': 1}
185|3.5|{u'Shopping': 1, u'Thrift Stores': 1}
186|3.5|{u'Hair Salons': 1, u'Beauty & Spas': 1, u'Massage': 1}
187|3.5|{u'Food': 1, u'Bakeries': 1, u'Coffee & Tea': 1, u'Internet Cafes': 1}
188|4.5|{u'Amateur Sports Teams': 1, u'Active Life': 1}
189|4.5|{u'Botanical Gardens': 1, u'Arts & Entertainment': 1}
190|2.5|{u'Restaurants': 1, u'Caterers': 1, u'Event Planning & Services': 1, u'Pizza': 1}
191|4.0|{u'Indian': 1, u'Restaurants': 1}
192|3.0|{u'Steakhouses': 1, u'Restaurants': 1}
193|3.5|{u'Italian': 1, u'Restaurants': 1}
194|3.5|{u'Chinese': 1, u'Restaurants': 1}
195|2.0|{u'Tires': 1, u'Automotive': 1}
196|1.5|{u'Internet Service Providers': 1, u'Shopping': 1, u'Electronics': 1, u'Mobile Phones': 1, u'Professional Services': 1, u'Home Services': 1}
197|1.5|{u'Hair Salons': 1, u'Beauty & Spas': 1}
198|4.5|{u'Airports': 1, u'Hotels & Travel': 1}
199|4.0|{u'Bars': 1, u'Restaurants': 1, u'Nightlife': 1, u'American (New)': 1}
200|4.5|{u'Beauty & Spas': 1, u'Fitness & Instruction': 1, u'Gyms': 1, u'Trainers': 1, u'Active Life': 1, u'Tanning': 1}
201|4.0|{u'American (Traditional)': 1, u'Bars': 1, u'Restaurants': 1, u'Dive Bars': 1, u'Nightlife': 1}
202|3.5|{u'Shopping': 1, u'Books, Mags, Music & Video': 1, u'Vinyl Records': 1, u'Music & DVDs': 1}
203|3.0|{u'American (Traditional)': 1, u'Bars': 1, u'Nightlife': 1, u'Sports Bars': 1, u'Restaurants': 1}
204|3.0|{u'Car Rental': 1, u'Hotels & Travel': 1}
205|4.5|{u'Bars': 1, u'Nightlife': 1}
206|5.0|{u'Optometrists': 1, u'Laser Eye Surgery/Lasik': 1, u'Health & Medical': 1}
207|4.0|{u'Restaurants': 1, u'Barbeque': 1}
208|3.0|{u'Restaurants': 1, u'Pizza': 1}
209|4.0|{u'Pet Services': 1, u'Pet Training': 1, u'Pet Groomers': 1, u'Pet Stores': 1, u'Pets': 1}
210|4.5|{u'Videos & Video Game Rental': 1, u'Books, Mags, Music & Video': 1, u'Shopping': 1}
211|3.5|{u'Greek': 1, u'Restaurants': 1}
212|4.5|{u'Diners': 1, u'Restaurants': 1}
213|4.5|{u'Optometrists': 1, u'Health & Medical': 1}
214|5.0|{u'Accountants': 1, u'Professional Services': 1}
215|4.5|{u'Car Rental': 1, u'Hotels & Travel': 1}
216|4.5|{u'Museums': 1, u'Arts & Entertainment': 1}
217|1.0|{u'Automotive': 1, u'Self Storage': 1, u'Local Services': 1, u'Truck Rental': 1}
218|4.0|{u'Breakfast & Brunch': 1, u'Cafes': 1, u'Restaurants': 1}
219|5.0|{u'Automotive': 1, u'Auto Repair': 1}
220|4.0|{u'Wedding Planning': 1, u'Caterers': 1, u'Event Planning & Services': 1, u'Party & Event Planning': 1}
221|3.5|{u'Food': 1, u'Ice Cream & Frozen Yogurt': 1, u'Burgers': 1, u'Restaurants': 1}
222|2.5|{u'Local Services': 1, u'Dry Cleaning & Laundry': 1}
223|5.0|{u'Food': 1, u'Beer, Wine & Spirits': 1}
224|4.0|{u'Pet Services': 1, u'Pet Groomers': 1, u'Pets': 1, u'Veterinarians': 1}
225|5.0|{u'Automotive': 1, u'Oil Change Stations': 1, u'Auto Repair': 1}
226|4.0|{u'Tires': 1, u'Automotive': 1, u'Oil Change Stations': 1, u'Auto Repair': 1}
227|3.0|{u'Event Planning & Services': 1, u'Hotels & Travel': 1, u'Hotels': 1}
228|4.0|{u'Pet Stores': 1, u'Pets': 1}
229|4.0|{u'Fashion': 1, u'Shopping': 1, u'Bike Rentals': 1, u'Active Life': 1, u'Sports Wear': 1, u'Sporting Goods': 1}
230|4.5|{u'Event Planning & Services': 1, u'Parks': 1, u'Hiking': 1, u'Venues & Event Spaces': 1, u'Active Life': 1}
231|1.5|{u'Restaurants': 1, u'Pizza': 1}
232|5.0|{u'Automotive': 1, u'Auto Parts & Supplies': 1, u'Gas & Service Stations': 1, u'Auto Repair': 1}
233|3.0|{u'Home Decor': 1, u'Shopping': 1, u'Home & Garden': 1}
234|2.0|{u'Accountants': 1, u'Professional Services': 1, u'Financial Services': 1, u'Payroll Services': 1, u'Tax Services': 1}
235|1.5|{u'Food': 1, u'Ice Cream & Frozen Yogurt': 1}
236|3.0|{u'Restaurants': 1, u'Pizza': 1}
237|2.5|{u'Tires': 1, u'Automotive': 1, u'Shopping': 1, u'Hardware Stores': 1, u'Home & Garden': 1}
238|3.5|{u'Restaurants': 1, u'Barbeque': 1}
239|4.5|{u'Mattresses': 1, u'Electronics': 1, u'Shopping': 1, u'Appliances': 1, u'Home & Garden': 1}
240|2.0|{u'Restaurants': 1}
241|2.0|{u'Building Supplies': 1, u'Home Services': 1, u'Shopping': 1, u'Hardware Stores': 1, u'Home & Garden': 1}
242|4.0|{u'Automotive': 1, u'Auto Parts & Supplies': 1, u'Car Stereo Installation': 1}
243|4.0|{u'Mattresses': 1, u'Furniture Stores': 1, u'Shopping': 1, u'Home & Garden': 1}
244|4.5|{u'Local Services': 1, u'Sewing & Alterations': 1}
245|4.0|{u'Hot Dogs': 1, u'Restaurants': 1}
246|5.0|{u'Automotive': 1, u'Auto Repair': 1}
247|3.5|{u'Italian': 1, u'Pizza': 1, u'Restaurants': 1}
248|4.0|{u'Shopping': 1, u'Antiques': 1}
249|4.0|{u'Food': 1, u'Shopping': 1, u'Grocery': 1, u'Flowers & Gifts': 1, u'Florists': 1}
250|1.0|{u'Burgers': 1, u'Restaurants': 1}
251|3.5|{u'Bakeries': 1, u'Food': 1}
252|3.0|{u'Food': 1, u'Grocery': 1}
253|3.5|{u'Nail Salons': 1, u'Cosmetics & Beauty Supply': 1, u'Shopping': 1, u'Beauty & Spas': 1, u'Massage': 1}
254|2.0|{u'American (Traditional)': 1, u'Bars': 1, u'Nightlife': 1, u'Restaurants': 1}
255|4.0|{u'Restaurants': 1, u'Pizza': 1}
256|4.5|{u'Delis': 1, u'Italian': 1, u'Restaurants': 1}
257|4.0|{u'Food': 1, u'Delis': 1, u'Meat Shops': 1, u'Specialty Food': 1, u'Restaurants': 1}
258|1.0|{u'Restaurants': 1, u'Chicken Wings': 1, u'Fast Food': 1}
259|4.5|{u'Discount Store': 1, u'Shopping': 1}
260|3.0|{u'Restaurants': 1, u'Mexican': 1, u'Tex-Mex': 1, u'Fast Food': 1}
261|3.5|{u'Restaurants': 1, u'Pizza': 1}
262|4.0|{u'Caribbean': 1, u'Restaurants': 1}
263|5.0|{u'Barbers': 1, u'Beauty & Spas': 1}
264|3.5|{u'Tires': 1, u'Automotive': 1, u'Auto Repair': 1}
265|3.0|{u'Chinese': 1, u'Restaurants': 1}
266|3.0|{u'Restaurants': 1, u'American (New)': 1}
267|4.0|{u'Pets': 1, u'Veterinarians': 1}
268|3.0|{u'Food': 1, u'Grocery': 1}
269|2.5|{u'Restaurants': 1, u'Fast Food': 1}
270|2.5|{u'American (Traditional)': 1, u'Burgers': 1, u'Restaurants': 1}
271|4.5|{u'Food': 1, u'Beer, Wine & Spirits': 1, u'Tobacco Shops': 1, u'Shopping': 1}
272|3.0|{u'Flowers & Gifts': 1, u'Nurseries & Gardening': 1, u'Shopping': 1, u'Florists': 1, u'Home & Garden': 1}
273|3.0|{u'Chinese': 1, u'Restaurants': 1}
274|4.0|{u'Libraries': 1, u'Public Services & Government': 1}
275|2.5|{u'Chinese': 1, u'Restaurants': 1}
276|4.0|{u'Food': 1, u'Ice Cream & Frozen Yogurt': 1, u'Restaurants': 1, u'Fast Food': 1}
277|3.5|{u'Shopping': 1, u'Thrift Stores': 1, u'Local Services': 1, u'Antiques': 1, u'Community Service/Non-Profit': 1}
278|4.0|{u'American (Traditional)': 1, u'Restaurants': 1}
279|4.0|{u'Pet Services': 1, u'Pets': 1, u'Pet Boarding/Pet Sitting': 1}
280|5.0|{u'Food': 1, u'Coffee & Tea': 1}
281|4.0|{u'Bakeries': 1, u'Food': 1, u'Donuts': 1}
282|3.5|{u'Hotels': 1, u'Event Planning & Services': 1, u'Hotels & Travel': 1, u'Venues & Event Spaces': 1}
283|4.5|{u'Event Planning & Services': 1, u'Hotels & Travel': 1, u'Hotels': 1}
284|5.0|{u'Nurseries & Gardening': 1, u'Shopping': 1, u'Home & Garden': 1}
285|3.0|{u'Venues & Event Spaces': 1, u'Event Planning & Services': 1, u'Restaurants': 1}
286|2.5|{u'Arts & Entertainment': 1, u'Cinema': 1}
287|3.0|{u'American (Traditional)': 1, u'Restaurants': 1, u'Gluten-Free': 1, u'Pizza': 1}
288|1.0|{u'Shopping': 1, u'Appliances': 1, u'Home & Garden': 1}
289|3.0|{u'Plumbing': 1, u'Heating & Air Conditioning/HVAC': 1, u'Home Services': 1}
290|4.0|{u'Event Planning & Services': 1, u'Hotels & Travel': 1, u'Hotels': 1}
291|3.5|{u'Animal Shelters': 1, u'Pet Stores': 1, u'Pets': 1}
292|3.5|{u'Sandwiches': 1, u'Restaurants': 1}
293|4.5|{u'Food': 1, u'Beer, Wine & Spirits': 1}
294|4.5|{u'Food': 1, u'Grocery': 1}
295|3.5|{u'Event Planning & Services': 1, u'Hotels & Travel': 1, u'Hotels': 1}
296|1.5|{u'Restaurants': 1}
297|2.5|{u'Restaurants': 1, u'Chicken Wings': 1, u'Sandwiches': 1, u'Pizza': 1}
298|3.5|{u'Restaurants': 1, u'Sandwiches': 1, u'American (New)': 1}
299|2.5|{u'Dance Clubs': 1, u'Restaurants': 1, u'Nightlife': 1, u'American (New)': 1}
300|2.5|{u'Nightlife': 1, u'Dance Clubs': 1}
301|4.0|{u'Tires': 1, u'Automotive': 1, u'Oil Change Stations': 1, u'Auto Repair': 1}
302|4.0|{u'Thai': 1, u'Restaurants': 1}
303|4.0|{u'Barbers': 1, u'Beauty & Spas': 1}
304|4.5|{u'Fitness & Instruction': 1, u'Gyms': 1, u'Trainers': 1, u'Active Life': 1}
305|4.0|{u'Shopping': 1, u'Jewelry': 1}
306|3.0|{u'Event Planning & Services': 1, u'Hotels & Travel': 1, u'Hotels': 1}
307|2.5|{u'Food': 1, u'Grocery': 1, u'Shopping': 1, u'Drugstores': 1}
308|3.5|{u'Mexican': 1, u'Tex-Mex': 1, u'Restaurants': 1}
309|3.0|{u'Food': 1, u'Breakfast & Brunch': 1, u'Tea Rooms': 1, u'Sandwiches': 1, u'Restaurants': 1}
310|5.0|{u'Food': 1, u'Fruits & Veggies': 1, u'Ethnic Food': 1, u'Specialty Food': 1}
311|5.0|{u'Shopping': 1, u'Jewelry': 1, u'Watches': 1}
312|2.5|{u'Burgers': 1, u'Restaurants': 1}
313|5.0|{u'Churches': 1, u'Religious Organizations': 1}
314|4.0|{u'Performing Arts': 1, u'Arts & Entertainment': 1}
315|4.0|{u'Middle Schools & High Schools': 1, u'Education': 1, u'Elementary Schools': 1}
316|3.5|{u'Restaurants': 1, u'Mexican': 1, u'Tex-Mex': 1, u'Fast Food': 1}
317|3.5|{u'American (Traditional)': 1, u'Bars': 1, u'Nightlife': 1, u'Sports Bars': 1, u'Restaurants': 1}
318|5.0|{u'Shopping': 1, u'Jewelry': 1}
319|1.5|{u'Taxis': 1, u'Transportation': 1, u'Airport Shuttles': 1, u'Hotels & Travel': 1}
320|2.5|{u'Restaurants': 1, u'Pizza': 1}
321|4.0|{u'Shopping': 1}
322|3.0|{u'Event Planning & Services': 1, u'Hotels & Travel': 1, u'Hotels': 1}
323|4.5|{u'Performing Arts': 1, u'Arts & Entertainment': 1}
324|3.5|{u'Breakfast & Brunch': 1, u'Restaurants': 1}
325|4.0|{u'Mexican': 1, u'Restaurants': 1}
326|4.0|{u'Performing Arts': 1, u'Event Planning & Services': 1, u'Arts & Entertainment': 1, u'Venues & Event Spaces': 1}
327|3.0|{u'Mexican': 1, u'Restaurants': 1}
328|4.0|{u'Asian Fusion': 1, u'Japanese': 1, u'Sushi Bars': 1, u'Restaurants': 1}
329|2.5|{u'Shopping': 1, u'Books, Mags, Music & Video': 1, u'Music & DVDs': 1}
330|3.0|{u'Bars': 1, u'Restaurants': 1, u'Nightlife': 1, u'Sports Bars': 1, u'American (New)': 1}
